release_time,t,x,y,z,u,v,w,density,radius,dilution
1970-01-01 01:00:00,0,0,0,100,1.01859,0,0,1000,0.25,1
1970-01-01 01:00:00,5,2.67098,0,100,0.362058,0,0,1000,0.704066,2.81919
1970-01-01 01:00:00,10,4.20016,0,100,0.264622,0,0,1000,0.964027,3.86299
1970-01-01 01:00:00,15,5.39766,0,100,0.21865,0,0,1000,1.1676,4.6823
1970-01-01 01:00:00,20,6.41545,0,100,0.190497,0,0,1000,1.34063,5.37803
1970-01-01 01:00:00,25,7.31675,0,100,0.171061,0,0,1000,1.49385,5.99631
1970-01-01 01:00:00,30,8.13405,0,100,0.156505,0,0,1000,1.63279,6.55403
1970-01-01 02:00:00,0,0,0,100,1.01859,0,0,1000,0.25,1
1970-01-01 02:00:00,5,3.15708,0,100,0.483965,0,0,1000,0.616704,2.89126
1970-01-01 02:00:00,10,5.32786,0,100,0.397759,0,0,1000,0.815735,4.15756
1970-01-01 02:00:00,15,7.20594,0,100,0.357562,0,0,1000,0.96501,5.2304
1970-01-01 02:00:00,20,8.92839,0,100,0.333043,0,0,1000,1.08783,6.19068
1970-01-01 02:00:00,25,10.5497,0,100,0.316527,0,0,1000,1.19345,7.08167
1970-01-01 02:00:00,30,12.1004,0,100,0.304317,0,0,1000,1.28707,7.91861
